source,source_label,n_images,reason
nail_disease,healthy,310,no unambiguous correspondence to target classes
nail_disease,psoriasis,433,no unambiguous correspondence to target classes
sd198,acne_keloidalis_nuchae,44,no unambiguous correspondence to target classes
sd198,acrokeratosis_verruciformis,10,no unambiguous correspondence to target classes
sd198,actinic_solar_damage(actinic_cheilitis),14,no unambiguous correspondence to target classes
sd198,actinic_solar_damage(actinic_keratosis),60,no unambiguous correspondence to target classes
sd198,actinic_solar_damage(cutis_rhomboidalis_nuchae),20,no unambiguous correspondence to target classes
sd198,actinic_solar_damage(pigmentation),60,no unambiguous correspondence to target classes
sd198,actinic_solar_damage(solar_elastosis),60,no unambiguous correspondence to target classes
sd198,actinic_solar_damage(solar_purpura),21,no unambiguous correspondence to target classes
sd198,actinic_solar_damage(telangiectasia),45,no unambiguous correspondence to target classes
sd198,allergic_contact_dermatitis,60,no unambiguous correspondence to target classes
sd198,alopecia_areata,60,no unambiguous correspondence to target classes
sd198,androgenetic_alopecia,41,no unambiguous correspondence to target classes
sd198,angioma,55,no unambiguous correspondence to target classes
sd198,angular_cheilitis,44,no unambiguous correspondence to target classes
sd198,aphthous_ulcer,13,no unambiguous correspondence to target classes
sd198,apocrine_hydrocystoma,43,no unambiguous correspondence to target classes
sd198,arsenical_keratosis,16,no unambiguous correspondence to target classes
sd198,balanitis_xerotica_obliterans,11,no unambiguous correspondence to target classes
sd198,basal_cell_carcinoma,60,no unambiguous correspondence to target classes
sd198,beau's_lines,34,no unambiguous correspondence to target classes
sd198,becker's_nevus,17,no unambiguous correspondence to target classes
sd198,behcet's_syndrome,13,no unambiguous correspondence to target classes
sd198,benign_keratosis,59,no unambiguous correspondence to target classes
sd198,blue_nevus,60,no unambiguous correspondence to target classes
sd198,bowen's_disease,59,no unambiguous correspondence to target classes
sd198,bowenoid_papulosis,17,no unambiguous correspondence to target classes
sd198,cafe_au_lait_macule,14,no unambiguous correspondence to target classes
sd198,callus,23,no unambiguous correspondence to target classes
sd198,cellulitis,35,no unambiguous correspondence to target classes
sd198,chalazion,16,no unambiguous correspondence to target classes
sd198,clubbing_of_fingers,33,no unambiguous correspondence to target classes
sd198,compound_nevus,60,no unambiguous correspondence to target classes
sd198,congenital_nevus,60,no unambiguous correspondence to target classes
sd198,crowe's_sign,20,no unambiguous correspondence to target classes
sd198,cutanea_larva_migrans,16,no unambiguous correspondence to target classes
sd198,cutaneous_horn,60,no unambiguous correspondence to target classes
sd198,cutaneous_t_cell_lymphoma,17,no unambiguous correspondence to target classes
sd198,cutis_marmorata,12,no unambiguous correspondence to target classes
sd198,darier_white_disease,31,no unambiguous correspondence to target classes
sd198,dermatofibroma,60,no unambiguous correspondence to target classes
sd198,dermatosis_papulosa_nigra,28,no unambiguous correspondence to target classes
sd198,desquamation,21,no unambiguous correspondence to target classes
sd198,digital_fibroma,20,no unambiguous correspondence to target classes
sd198,dilated_pore_of_winer,25,no unambiguous correspondence to target classes
sd198,discoid_lupus_erythematosus,15,no unambiguous correspondence to target classes
sd198,disseminated_actinic_porokeratosis,30,no unambiguous correspondence to target classes
sd198,drug_eruption,58,no unambiguous correspondence to target classes
sd198,dysplastic_nevus,60,no unambiguous correspondence to target classes
sd198,eccrine_poroma,14,no unambiguous correspondence to target classes
sd198,epidermal_nevus,28,no unambiguous correspondence to target classes
sd198,epidermoid_cyst,60,no unambiguous correspondence to target classes
sd198,epithelioma_adenoides_cysticum,15,no unambiguous correspondence to target classes
sd198,erythema_ab_igne,18,no unambiguous correspondence to target classes
sd198,erythema_annulare_centrifigum,11,no unambiguous correspondence to target classes
sd198,erythema_craquele,31,no unambiguous correspondence to target classes
sd198,erythema_multiforme,24,no unambiguous correspondence to target classes
sd198,exfoliative_erythroderma,29,no unambiguous correspondence to target classes
sd198,factitial_dermatitis,60,no unambiguous correspondence to target classes
sd198,favre_racouchot,59,no unambiguous correspondence to target classes
sd198,fibroma,17,no unambiguous correspondence to target classes
sd198,fibroma_molle,56,no unambiguous correspondence to target classes
sd198,fixed_drug_eruption,38,no unambiguous correspondence to target classes
sd198,follicular_mucinosis,26,no unambiguous correspondence to target classes
sd198,follicular_retention_cyst,10,no unambiguous correspondence to target classes
sd198,fordyce_spots,18,no unambiguous correspondence to target classes
sd198,frictional_lichenoid_dermatitis,12,no unambiguous correspondence to target classes
sd198,ganglion,11,no unambiguous correspondence to target classes
sd198,geographic_tongue,17,no unambiguous correspondence to target classes
sd198,granulation_tissue,20,no unambiguous correspondence to target classes
sd198,granuloma_annulare,25,no unambiguous correspondence to target classes
sd198,green_nail,19,no unambiguous correspondence to target classes
sd198,hailey_hailey_disease,12,no unambiguous correspondence to target classes
sd198,half_and_half_nail,14,no unambiguous correspondence to target classes
sd198,halo_nevus,52,no unambiguous correspondence to target classes
sd198,herpes_simplex_virus,24,no unambiguous correspondence to target classes
sd198,herpes_zoster,24,no unambiguous correspondence to target classes
sd198,hidradenitis_suppurativa,29,no unambiguous correspondence to target classes
sd198,histiocytosis_x,11,no unambiguous correspondence to target classes
sd198,hyperkeratosis_palmaris_et_plantaris,40,no unambiguous correspondence to target classes
sd198,hypertrichosis,37,no unambiguous correspondence to target classes
sd198,ichthyosis,60,no unambiguous correspondence to target classes
sd198,impetigo,16,no unambiguous correspondence to target classes
sd198,junction_nevus,34,no unambiguous correspondence to target classes
sd198,keloid,49,no unambiguous correspondence to target classes
sd198,keratoacanthoma,60,no unambiguous correspondence to target classes
sd198,keratolysis_exfoliativa_of_wende,21,no unambiguous correspondence to target classes
sd198,keratosis_pilaris,47,no unambiguous correspondence to target classes
sd198,kerion,38,no unambiguous correspondence to target classes
sd198,koilonychia,20,no unambiguous correspondence to target classes
sd198,kyrle's_disease,14,no unambiguous correspondence to target classes
sd198,leiomyoma,15,no unambiguous correspondence to target classes
sd198,lentigo_maligna_melanoma,53,no unambiguous correspondence to target classes
sd198,leukocytoclastic_vasculitis,20,no unambiguous correspondence to target classes
sd198,leukonychia,31,no unambiguous correspondence to target classes
sd198,lichen_planus,52,no unambiguous correspondence to target classes
sd198,lichen_sclerosis_et_atrophicus,56,no unambiguous correspondence to target classes
sd198,lichen_simplex_chronicus,30,no unambiguous correspondence to target classes
sd198,lichen_spinulosis,11,no unambiguous correspondence to target classes
sd198,linear_epidermal_nevus,11,no unambiguous correspondence to target classes
sd198,lipoma,20,no unambiguous correspondence to target classes
sd198,livedo_reticularis,37,no unambiguous correspondence to target classes
sd198,lymphangioma_circumscriptum,11,no unambiguous correspondence to target classes
sd198,lymphocytic_infiltrate_of_jessner,51,no unambiguous correspondence to target classes
sd198,lymphomatoid_papulosis,19,no unambiguous correspondence to target classes
sd198,mal_perforans,14,no unambiguous correspondence to target classes
sd198,malignant_melanoma,60,no unambiguous correspondence to target classes
sd198,median_nail_dystrophy,23,no unambiguous correspondence to target classes
sd198,melasma,11,no unambiguous correspondence to target classes
sd198,metastatic_carcinoma,27,no unambiguous correspondence to target classes
sd198,milia,44,no unambiguous correspondence to target classes
sd198,molluscum_contagiosum,19,no unambiguous correspondence to target classes
sd198,morphea,18,no unambiguous correspondence to target classes
sd198,mucha_habermann_disease,11,no unambiguous correspondence to target classes
sd198,myxoid_cyst,57,no unambiguous correspondence to target classes
sd198,nail_dystrophy,40,no unambiguous correspondence to target classes
sd198,nail_nevus,14,no unambiguous correspondence to target classes
sd198,nail_ridging,13,no unambiguous correspondence to target classes
sd198,neurodermatitis,21,no unambiguous correspondence to target classes
sd198,neurofibroma,55,no unambiguous correspondence to target classes
sd198,neurotic_excoriations,12,no unambiguous correspondence to target classes
sd198,nevus_comedonicus,10,no unambiguous correspondence to target classes
sd198,nevus_incipiens,60,no unambiguous correspondence to target classes
sd198,nevus_sebaceous_of_jadassohn,43,no unambiguous correspondence to target classes
sd198,nevus_spilus,26,no unambiguous correspondence to target classes
sd198,onychogryphosis,15,no unambiguous correspondence to target classes
sd198,onycholysis,50,no unambiguous correspondence to target classes
sd198,onychoschizia,25,no unambiguous correspondence to target classes
sd198,paronychia,24,no unambiguous correspondence to target classes
sd198,pearl_penile_papules,12,no unambiguous correspondence to target classes
sd198,perioral_dermatitis,60,no unambiguous correspondence to target classes
sd198,pincer_nail_syndrome,14,no unambiguous correspondence to target classes
sd198,pitted_keratolysis,24,no unambiguous correspondence to target classes
sd198,pityriasis_alba,11,no unambiguous correspondence to target classes
sd198,pityriasis_rosea,34,no unambiguous correspondence to target classes
sd198,pityrosporum_folliculitis,60,no unambiguous correspondence to target classes
sd198,poikiloderma_atrophicans_vasculare,14,no unambiguous correspondence to target classes
sd198,pseudofolliculitis_barbae,25,no unambiguous correspondence to target classes
sd198,pseudorhinophyma,23,no unambiguous correspondence to target classes
sd198,pyoderma_gangrenosum,17,no unambiguous correspondence to target classes
sd198,pyogenic_granuloma,60,no unambiguous correspondence to target classes
sd198,racquet_nail,15,no unambiguous correspondence to target classes
sd198,radiodermatitis,37,no unambiguous correspondence to target classes
sd198,rhinophyma,60,no unambiguous correspondence to target classes
sd198,rosacea,60,no unambiguous correspondence to target classes
sd198,scar,58,no unambiguous correspondence to target classes
sd198,scarring_alopecia,13,no unambiguous correspondence to target classes
sd198,schamberg's_disease,14,no unambiguous correspondence to target classes
sd198,sebaceous_gland_hyperplasia,60,no unambiguous correspondence to target classes
sd198,seborrheic_dermatitis,60,no unambiguous correspondence to target classes
sd198,seborrheic_keratosis,60,no unambiguous correspondence to target classes
sd198,skin_tag,60,no unambiguous correspondence to target classes
sd198,solar_lentigo,12,no unambiguous correspondence to target classes
sd198,stasis_dermatitis,60,no unambiguous correspondence to target classes
sd198,stasis_edema,60,no unambiguous correspondence to target classes
sd198,stasis_ulcer,60,no unambiguous correspondence to target classes
sd198,steroid_striae,14,no unambiguous correspondence to target classes
sd198,steroid_use_abusemisuse_dermatitis,60,no unambiguous correspondence to target classes
sd198,stomatitis,10,no unambiguous correspondence to target classes
sd198,strawberry_hemangioma,11,no unambiguous correspondence to target classes
sd198,striae,26,no unambiguous correspondence to target classes
sd198,subungual_hematoma,17,no unambiguous correspondence to target classes
sd198,syringoma,49,no unambiguous correspondence to target classes
sd198,terry's_nails,10,no unambiguous correspondence to target classes
sd198,toe_deformity,17,no unambiguous correspondence to target classes
sd198,trichilemmal_cyst,14,no unambiguous correspondence to target classes
sd198,trichofolliculoma,18,no unambiguous correspondence to target classes
sd198,trichostasis_spinulosa,12,no unambiguous correspondence to target classes
sd198,ulcer,23,no unambiguous correspondence to target classes
sd198,urticaria,11,no unambiguous correspondence to target classes
sd198,varicella,11,no unambiguous correspondence to target classes
sd198,verruca_vulgaris,23,no unambiguous correspondence to target classes
sd198,vitiligo,12,no unambiguous correspondence to target classes
sd198,wound_infection,13,no unambiguous correspondence to target classes
sd198,xerosis,38,no unambiguous correspondence to target classes
skin_10classes,10. Warts Molluscum and other Viral Infections - 2103,2103,no unambiguous correspondence to target classes
skin_10classes,2. Melanoma 15.75k,3140,no unambiguous correspondence to target classes
skin_10classes,4. Basal Cell Carcinoma (BCC) 3323,3323,no unambiguous correspondence to target classes
skin_10classes,5. Melanocytic Nevi (NV) - 7970,7970,no unambiguous correspondence to target classes
skin_10classes,6. Benign Keratosis-like Lesions (BKL) 2624,2079,no unambiguous correspondence to target classes
skin_10classes,8. Seborrheic Keratoses and other Benign Tumors - 1.8k,1847,no unambiguous correspondence to target classes
skin_10classes,9. Tinea Ringworm Candidiasis and other Fungal Infections - 1.7k,1702,no unambiguous correspondence to target classes
skin_normal,dermatitis atopik,300,no unambiguous correspondence to target classes
skin_normal,dermatitis kontak alergi,300,no unambiguous correspondence to target classes
skin_normal,dermatitis perioral,300,no unambiguous correspondence to target classes
skin_normal,dermatitis seboroik,300,no unambiguous correspondence to target classes
skin_normal,neurodermatitis,300,no unambiguous correspondence to target classes
