path,class,ita,skin_tone_group
datasets\final\test\Acne\test_196__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,36.38435363769531,FST III (Medium)
datasets\final\test\Acne\test_acne-face-4-7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,29.320476531982422,FST III (Medium)
datasets\final\test\Acne\test_acne-face-6-1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDEwOF0.jpeg,Acne,35.72285842895508,FST III (Medium)
datasets\final\test\Acne\test_hidradenitis-suppurativa-42.jpg,Acne,41.15755081176758,FST I-II (Light)
datasets\final\test\Acne\test_hidradenitis-suppurativa-43.jpg,Acne,30.661884307861328,FST III (Medium)
datasets\final\test\Acne\test_milia-3.jpg,Acne,34.215702056884766,FST III (Medium)
datasets\final\test\Acne\test_rosacea-10.jpg,Acne,26.87813949584961,FST IV (Olive)
datasets\final\test\Acne\test_rosacea-59.jpg,Acne,34.82448959350586,FST III (Medium)
datasets\final\test\Acne\test_rosacea-62.jpg,Acne,14.314826965332031,FST V-VI (Dark)
datasets\final\test\Acne\test_rosacea-84.jpg,Acne,31.93844985961914,FST III (Medium)
datasets\final\test\Acne\test_rosacea-88.jpg,Acne,20.806791305541992,FST IV (Olive)
datasets\final\test\Acne\test_rosacea-93.jpg,Acne,33.77754211425781,FST III (Medium)
datasets\final\test\Acne\test_rosacea-nose-40.jpg,Acne,37.45058059692383,FST III (Medium)
datasets\final\test\Acne\test_Sebaceous-glands-Areola-4.jpg,Acne,23.543445587158203,FST IV (Olive)
datasets\final\test\Acne\train_07rosacea010206OK.jpg,Acne,34.69515609741211,FST III (Medium)
datasets\final\test\Acne\train_07RosaceaMilia0120.jpg,Acne,33.98952102661133,FST III (Medium)
datasets\final\test\Acne\train_acne-closed-comedo-17.jpg,Acne,43.95074462890625,FST I-II (Light)
datasets\final\test\Acne\train_acne-closed-comedo-2.jpg,Acne,35.618492126464844,FST III (Medium)
datasets\final\test\Acne\train_acne-closed-comedo-26.jpg,Acne,37.54975128173828,FST III (Medium)
datasets\final\test\Acne\train_acne-closed-comedo-3.jpg,Acne,37.54792404174805,FST III (Medium)
datasets\final\test\Acne\train_acne-cystic-104.jpg,Acne,40.71712112426758,FST III (Medium)
datasets\final\test\Acne\train_acne-cystic-109.jpeg,Acne,37.621463775634766,FST III (Medium)
datasets\final\test\Acne\train_acne-cystic-111.jpeg,Acne,37.95928192138672,FST III (Medium)
datasets\final\test\Acne\train_acne-cystic-129.jpeg,Acne,37.5685920715332,FST III (Medium)
datasets\final\test\Acne\train_acne-cystic-143.jpeg,Acne,24.97391128540039,FST IV (Olive)
datasets\final\test\Acne\train_acne-cystic-148.jpeg,Acne,22.9195556640625,FST IV (Olive)
datasets\final\test\Acne\train_acne-cystic-18.jpg,Acne,33.783077239990234,FST III (Medium)
datasets\final\test\Acne\train_acne-cystic-21.jpg,Acne,23.853906631469727,FST IV (Olive)
datasets\final\test\Acne\train_acne-cystic-39.jpg,Acne,36.25383758544922,FST III (Medium)
datasets\final\test\Acne\train_acne-cystic-40.jpg,Acne,27.84162712097168,FST IV (Olive)
datasets\final\test\Acne\train_acne-cystic-58.jpg,Acne,25.68364715576172,FST IV (Olive)
datasets\final\test\Acne\train_acne-cystic-87.jpeg,Acne,40.86793899536133,FST III (Medium)
datasets\final\test\Acne\train_acne-cystic-9.jpg,Acne,43.894039154052734,FST I-II (Light)
datasets\final\test\Acne\train_acne-cystic-91.jpeg,Acne,37.90330505371094,FST III (Medium)
datasets\final\test\Acne\train_acne-cystic-98.jpeg,Acne,50.47140884399414,FST I-II (Light)
datasets\final\test\Acne\train_acne-excoriated-15.jpeg,Acne,39.062583923339844,FST III (Medium)
datasets\final\test\Acne\train_acne-excoriated-19.jpeg,Acne,10.885526657104492,FST V-VI (Dark)
datasets\final\test\Acne\train_acne-excoriated-6.jpeg,Acne,31.67547035217285,FST III (Medium)
datasets\final\test\Acne\train_acne-face-1-12__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,34.78602600097656,FST III (Medium)
datasets\final\test\Acne\train_acne-face-1-1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Acne,26.896236419677734,FST IV (Olive)
datasets\final\test\Acne\train_acne-face-1-39__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Acne,29.357755661010742,FST III (Medium)
datasets\final\test\Acne\train_acne-face-15__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,26.737110137939453,FST IV (Olive)
datasets\final\test\Acne\train_acne-face-16__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,43.54187774658203,FST I-II (Light)
datasets\final\test\Acne\train_acne-face-2-10__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,39.844417572021484,FST III (Medium)
datasets\final\test\Acne\train_acne-face-2-30__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,31.630661010742188,FST III (Medium)
datasets\final\test\Acne\train_acne-face-2-35__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,31.669736862182617,FST III (Medium)
datasets\final\test\Acne\train_acne-face-2-7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,29.337892532348633,FST III (Medium)
datasets\final\test\Acne\train_acne-face-20-1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,24.702430725097656,FST IV (Olive)
datasets\final\test\Acne\train_acne-face-20__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE4XQ.jpeg,Acne,19.14813804626465,FST IV (Olive)
datasets\final\test\Acne\train_acne-face-23__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,34.811370849609375,FST III (Medium)
datasets\final\test\Acne\train_acne-face-24-1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Acne,50.591556549072266,FST I-II (Light)
datasets\final\test\Acne\train_acne-face-3-18__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,33.690067291259766,FST III (Medium)
datasets\final\test\Acne\train_acne-face-5-2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDEwOF0.jpeg,Acne,39.138458251953125,FST III (Medium)
datasets\final\test\Acne\train_acne-face-57__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,28.231918334960938,FST III (Medium)
datasets\final\test\Acne\train_acne-face-71__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,31.54676628112793,FST III (Medium)
datasets\final\test\Acne\train_acne-face-74__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,21.03750991821289,FST IV (Olive)
datasets\final\test\Acne\train_acne-face-77__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,29.992733001708984,FST III (Medium)
datasets\final\test\Acne\train_acne-face-8-2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Acne,34.78602600097656,FST III (Medium)
datasets\final\test\Acne\train_acne-infantile-1.jpeg,Acne,36.00285720825195,FST III (Medium)
datasets\final\test\Acne\train_acne-infantile-11.jpeg,Acne,30.742965698242188,FST III (Medium)
datasets\final\test\Acne\train_acne-infantile-13.jpeg,Acne,11.159944534301758,FST V-VI (Dark)
datasets\final\test\Acne\train_acne-infantile-4.jpg,Acne,24.473718643188477,FST IV (Olive)
datasets\final\test\Acne\train_acne-open-comedo-11.jpeg,Acne,35.57722091674805,FST III (Medium)
datasets\final\test\Acne\train_acne-open-comedo-15.jpeg,Acne,14.604447364807129,FST V-VI (Dark)
datasets\final\test\Acne\train_acne-open-comedo-21.jpeg,Acne,39.805572509765625,FST III (Medium)
datasets\final\test\Acne\train_acne-open-comedo-44.jpeg,Acne,29.835540771484375,FST III (Medium)
datasets\final\test\Acne\train_acne-open-comedo-48.jpeg,Acne,32.175601959228516,FST III (Medium)
datasets\final\test\Acne\train_acne-open-comedo-57.jpg,Acne,39.60224914550781,FST III (Medium)
datasets\final\test\Acne\train_acne-primary-lesion-5.jpg,Acne,39.84791946411133,FST III (Medium)
datasets\final\test\Acne\train_acne-pustular-1.jpeg,Acne,36.73680877685547,FST III (Medium)
datasets\final\test\Acne\train_acne-pustular-10.jpeg,Acne,30.65066909790039,FST III (Medium)
datasets\final\test\Acne\train_acne-pustular-15.jpeg,Acne,36.869895935058594,FST III (Medium)
datasets\final\test\Acne\train_acne-pustular-17.jpeg,Acne,36.8074836730957,FST III (Medium)
datasets\final\test\Acne\train_acne-pustular-24.jpeg,Acne,26.250242233276367,FST IV (Olive)
datasets\final\test\Acne\train_acne-pustular-35.jpg,Acne,41.94130325317383,FST I-II (Light)
datasets\final\test\Acne\train_acne-pustular-40.jpeg,Acne,10.477423667907715,FST V-VI (Dark)
datasets\final\test\Acne\train_acne-pustular-62.jpg,Acne,32.793495178222656,FST III (Medium)
datasets\final\test\Acne\train_acne-pustular-70.jpeg,Acne,39.02843475341797,FST III (Medium)
datasets\final\test\Acne\train_acne-pustular-71.jpeg,Acne,29.88283348083496,FST III (Medium)
datasets\final\test\Acne\train_hidradenitis-suppurativa-16.jpg,Acne,27.172941207885742,FST IV (Olive)
datasets\final\test\Acne\train_hidradenitis-suppurativa-18.jpg,Acne,15.945396423339844,FST V-VI (Dark)
datasets\final\test\Acne\train_hidradenitis-suppurativa-38.jpg,Acne,29.70140838623047,FST III (Medium)
datasets\final\test\Acne\train_hidradenitis-suppurativa-65.jpg,Acne,49.91178894042969,FST I-II (Light)
datasets\final\test\Acne\train_hidradenitis-suppurativa-72.jpg,Acne,31.792072296142578,FST III (Medium)
datasets\final\test\Acne\train_hidradenitis-suppurativa-80.jpg,Acne,38.00609588623047,FST III (Medium)
datasets\final\test\Acne\train_hyperhidrosis-4.jpg,Acne,24.04422378540039,FST IV (Olive)
datasets\final\test\Acne\train_milia-15.jpg,Acne,17.730527877807617,FST V-VI (Dark)
datasets\final\test\Acne\train_milia-4.jpg,Acne,25.432231903076172,FST IV (Olive)
datasets\final\test\Acne\train_milia-5.jpg,Acne,35.423011779785156,FST III (Medium)
datasets\final\test\Acne\train_minocycline-pigmentation-2.jpg,Acne,20.170654296875,FST IV (Olive)
datasets\final\test\Acne\train_perioral-dermatitis-1.jpg,Acne,34.14049530029297,FST III (Medium)
datasets\final\test\Acne\train_perioral-dermatitis-115.jpg,Acne,35.04539489746094,FST III (Medium)
datasets\final\test\Acne\train_perioral-dermatitis-118.jpg,Acne,34.58214569091797,FST III (Medium)
datasets\final\test\Acne\train_perioral-dermatitis-119.jpg,Acne,27.552812576293945,FST IV (Olive)
datasets\final\test\Acne\train_perioral-dermatitis-121.jpg,Acne,30.59331512451172,FST III (Medium)
datasets\final\test\Acne\train_perioral-dermatitis-129.jpg,Acne,42.147090911865234,FST I-II (Light)
datasets\final\test\Acne\train_perioral-dermatitis-23.jpg,Acne,19.756000518798828,FST IV (Olive)
datasets\final\test\Acne\train_perioral-dermatitis-3.jpg,Acne,34.31089401245117,FST III (Medium)
datasets\final\test\Acne\train_perioral-dermatitis-36.jpg,Acne,36.21883773803711,FST III (Medium)
datasets\final\test\Acne\train_perioral-dermatitis-97.jpg,Acne,31.709197998046875,FST III (Medium)
datasets\final\test\Acne\train_rhinophyma-3.jpg,Acne,25.4807186126709,FST IV (Olive)
datasets\final\test\Acne\train_rhinophyma-4.jpg,Acne,19.510799407958984,FST IV (Olive)
datasets\final\test\Acne\train_rosacea-111.jpg,Acne,36.63411331176758,FST III (Medium)
